step,event,x,y,height,angle
0,start,3 cm,3 cm,1 cm,0°
1,get_location,3 cm,3 cm,1 cm,0°
2,scan,3 cm,3 cm,1 cm,0°
3,rotate_success,3 cm,3 cm,1 cm,90°
4,get_location,3 cm,3 cm,1 cm,90°
5,scan,3 cm,3 cm,1 cm,90°
6,rotate_success,3 cm,3 cm,1 cm,180°
7,get_location,3 cm,3 cm,1 cm,180°
8,scan,3 cm,3 cm,1 cm,180°
9,advance_success,2 cm,3 cm,1 cm,180°
10,get_location,2 cm,3 cm,1 cm,180°
11,scan,2 cm,3 cm,1 cm,180°
12,rotate_success,2 cm,3 cm,1 cm,270°
13,get_location,2 cm,3 cm,1 cm,270°
14,scan,2 cm,3 cm,1 cm,270°
15,rotate_success,2 cm,3 cm,1 cm,0°
16,get_location,2 cm,3 cm,1 cm,0°
17,scan,2 cm,3 cm,1 cm,0°
18,rotate_success,2 cm,3 cm,1 cm,90°
19,get_location,2 cm,3 cm,1 cm,90°
20,scan,2 cm,3 cm,1 cm,90°
21,advance_success,2 cm,4 cm,1 cm,90°
22,get_location,2 cm,4 cm,1 cm,90°
23,scan,2 cm,4 cm,1 cm,90°
24,advance_success,2 cm,5 cm,1 cm,90°
25,get_location,2 cm,5 cm,1 cm,90°
26,scan,2 cm,5 cm,1 cm,90°
27,rotate_success,2 cm,5 cm,1 cm,180°
28,get_location,2 cm,5 cm,1 cm,180°
29,scan,2 cm,5 cm,1 cm,180°
30,rotate_success,2 cm,5 cm,1 cm,270°
31,get_location,2 cm,5 cm,1 cm,270°
32,scan,2 cm,5 cm,1 cm,270°
33,rotate_success,2 cm,5 cm,1 cm,0°
34,get_location,2 cm,5 cm,1 cm,0°
35,scan,2 cm,5 cm,1 cm,0°
36,advance_success,3 cm,5 cm,1 cm,0°
37,get_location,3 cm,5 cm,1 cm,0°
38,scan,3 cm,5 cm,1 cm,0°
39,rotate_success,3 cm,5 cm,1 cm,90°
40,get_location,3 cm,5 cm,1 cm,90°
41,scan,3 cm,5 cm,1 cm,90°
42,rotate_success,3 cm,5 cm,1 cm,180°
43,get_location,3 cm,5 cm,1 cm,180°
44,scan,3 cm,5 cm,1 cm,180°
45,rotate_success,3 cm,5 cm,1 cm,270°
46,get_location,3 cm,5 cm,1 cm,270°
47,scan,3 cm,5 cm,1 cm,270°
48,scan,3 cm,5 cm,1 cm,270°
49,scan,3 cm,5 cm,1 cm,270°
50,rotate_success,3 cm,5 cm,1 cm,180°
51,get_location,3 cm,5 cm,1 cm,180°
52,advance_success,2 cm,5 cm,1 cm,180°
53,get_location,2 cm,5 cm,1 cm,180°
54,scan,2 cm,5 cm,1 cm,180°
55,rotate_success,2 cm,5 cm,1 cm,270°
56,get_location,2 cm,5 cm,1 cm,270°
57,scan,2 cm,5 cm,1 cm,270°
58,rotate_success,2 cm,5 cm,1 cm,0°
59,get_location,2 cm,5 cm,1 cm,0°
60,scan,2 cm,5 cm,1 cm,0°
61,rotate_success,2 cm,5 cm,1 cm,90°
62,get_location,2 cm,5 cm,1 cm,90°
63,scan,2 cm,5 cm,1 cm,90°
64,scan,2 cm,5 cm,1 cm,90°
65,scan,2 cm,5 cm,1 cm,90°
66,rotate_success,2 cm,5 cm,1 cm,180°
67,get_location,2 cm,5 cm,1 cm,180°
68,rotate_success,2 cm,5 cm,1 cm,270°
69,get_location,2 cm,5 cm,1 cm,270°
70,advance_success,2 cm,4 cm,1 cm,270°
71,get_location,2 cm,4 cm,1 cm,270°
72,scan,2 cm,4 cm,1 cm,270°
73,rotate_success,2 cm,4 cm,1 cm,0°
74,get_location,2 cm,4 cm,1 cm,0°
75,scan,2 cm,4 cm,1 cm,0°
76,rotate_success,2 cm,4 cm,1 cm,90°
77,get_location,2 cm,4 cm,1 cm,90°
78,scan,2 cm,4 cm,1 cm,90°
79,rotate_success,2 cm,4 cm,1 cm,180°
80,get_location,2 cm,4 cm,1 cm,180°
81,scan,2 cm,4 cm,1 cm,180°
82,scan,2 cm,4 cm,1 cm,180°
83,scan,2 cm,4 cm,1 cm,180°
84,rotate_success,2 cm,4 cm,1 cm,270°
85,get_location,2 cm,4 cm,1 cm,270°
86,advance_success,2 cm,3 cm,1 cm,270°
87,get_location,2 cm,3 cm,1 cm,270°
88,scan,2 cm,3 cm,1 cm,270°
89,rotate_success,2 cm,3 cm,1 cm,0°
90,get_location,2 cm,3 cm,1 cm,0°
91,scan,2 cm,3 cm,1 cm,0°
92,rotate_success,2 cm,3 cm,1 cm,90°
93,get_location,2 cm,3 cm,1 cm,90°
94,scan,2 cm,3 cm,1 cm,90°
95,rotate_success,2 cm,3 cm,1 cm,180°
96,get_location,2 cm,3 cm,1 cm,180°
97,scan,2 cm,3 cm,1 cm,180°
98,scan,2 cm,3 cm,1 cm,180°
99,scan,2 cm,3 cm,1 cm,180°
100,rotate_success,2 cm,3 cm,1 cm,270°
101,get_location,2 cm,3 cm,1 cm,270°
