step,event,x,y,height,angle
0,start,2 cm,3 cm,0 cm,0°
1,get_location,2 cm,3 cm,0 cm,0°
2,scan,2 cm,3 cm,0 cm,0°
3,advance_success,3 cm,3 cm,0 cm,0°
4,get_location,3 cm,3 cm,0 cm,0°
5,scan,3 cm,3 cm,0 cm,0°
6,advance_success,4 cm,3 cm,0 cm,0°
7,get_location,4 cm,3 cm,0 cm,0°
8,scan,4 cm,3 cm,0 cm,0°
9,rotate_success,4 cm,3 cm,0 cm,32°
10,get_location,4 cm,3 cm,0 cm,32°
11,rotate_success,4 cm,3 cm,0 cm,64°
12,get_location,4 cm,3 cm,0 cm,64°
13,rotate_success,4 cm,3 cm,0 cm,90°
14,get_location,4 cm,3 cm,0 cm,90°
15,scan,4 cm,3 cm,0 cm,90°
16,advance_success,4 cm,4 cm,0 cm,90°
17,get_location,4 cm,4 cm,0 cm,90°
18,scan,4 cm,4 cm,0 cm,90°
19,advance_success,4 cm,5 cm,0 cm,90°
20,get_location,4 cm,5 cm,0 cm,90°
21,scan,4 cm,5 cm,0 cm,90°
22,rotate_success,4 cm,5 cm,0 cm,122°
23,get_location,4 cm,5 cm,0 cm,122°
24,rotate_success,4 cm,5 cm,0 cm,154°
25,get_location,4 cm,5 cm,0 cm,154°
26,rotate_success,4 cm,5 cm,0 cm,180°
27,get_location,4 cm,5 cm,0 cm,180°
28,scan,4 cm,5 cm,0 cm,180°
29,advance_success,3 cm,5 cm,0 cm,180°
30,get_location,3 cm,5 cm,0 cm,180°
31,scan,3 cm,5 cm,0 cm,180°
32,advance_success,2 cm,5 cm,0 cm,180°
33,get_location,2 cm,5 cm,0 cm,180°
34,scan,2 cm,5 cm,0 cm,180°
35,advance_success,1 cm,5 cm,0 cm,180°
36,get_location,1 cm,5 cm,0 cm,180°
37,scan,1 cm,5 cm,0 cm,180°
38,rotate_success,1 cm,5 cm,0 cm,212°
39,get_location,1 cm,5 cm,0 cm,212°
40,rotate_success,1 cm,5 cm,0 cm,244°
41,get_location,1 cm,5 cm,0 cm,244°
42,rotate_success,1 cm,5 cm,0 cm,270°
43,get_location,1 cm,5 cm,0 cm,270°
44,scan,1 cm,5 cm,0 cm,270°
45,advance_success,1 cm,4 cm,0 cm,270°
46,get_location,1 cm,4 cm,0 cm,270°
47,scan,1 cm,4 cm,0 cm,270°
48,advance_success,1 cm,3 cm,0 cm,270°
49,get_location,1 cm,3 cm,0 cm,270°
50,scan,1 cm,3 cm,0 cm,270°
51,advance_success,1 cm,2 cm,0 cm,270°
52,get_location,1 cm,2 cm,0 cm,270°
53,scan,1 cm,2 cm,0 cm,270°
54,advance_success,1 cm,1 cm,0 cm,270°
55,get_location,1 cm,1 cm,0 cm,270°
56,scan,1 cm,1 cm,0 cm,270°
57,rotate_success,1 cm,1 cm,0 cm,302°
58,get_location,1 cm,1 cm,0 cm,302°
59,rotate_success,1 cm,1 cm,0 cm,334°
60,get_location,1 cm,1 cm,0 cm,334°
61,rotate_success,1 cm,1 cm,0 cm,0°
62,get_location,1 cm,1 cm,0 cm,0°
63,scan,1 cm,1 cm,0 cm,0°
64,advance_success,2 cm,1 cm,0 cm,0°
65,get_location,2 cm,1 cm,0 cm,0°
66,scan,2 cm,1 cm,0 cm,0°
67,advance_success,3 cm,1 cm,0 cm,0°
68,get_location,3 cm,1 cm,0 cm,0°
69,scan,3 cm,1 cm,0 cm,0°
70,advance_success,4 cm,1 cm,0 cm,0°
71,get_location,4 cm,1 cm,0 cm,0°
72,scan,4 cm,1 cm,0 cm,0°
73,rotate_success,4 cm,1 cm,0 cm,32°
74,get_location,4 cm,1 cm,0 cm,32°
75,rotate_success,4 cm,1 cm,0 cm,64°
76,get_location,4 cm,1 cm,0 cm,64°
77,rotate_success,4 cm,1 cm,0 cm,90°
78,get_location,4 cm,1 cm,0 cm,90°
79,scan,4 cm,1 cm,0 cm,90°
80,advance_success,4 cm,2 cm,0 cm,90°
81,get_location,4 cm,2 cm,0 cm,90°
82,scan,4 cm,2 cm,0 cm,90°
83,rotate_success,4 cm,2 cm,0 cm,122°
84,get_location,4 cm,2 cm,0 cm,122°
85,rotate_success,4 cm,2 cm,0 cm,154°
86,get_location,4 cm,2 cm,0 cm,154°
87,rotate_success,4 cm,2 cm,0 cm,180°
88,get_location,4 cm,2 cm,0 cm,180°
89,scan,4 cm,2 cm,0 cm,180°
90,advance_success,3 cm,2 cm,0 cm,180°
91,get_location,3 cm,2 cm,0 cm,180°
92,scan,3 cm,2 cm,0 cm,180°
93,advance_success,2 cm,2 cm,0 cm,180°
94,get_location,2 cm,2 cm,0 cm,180°
95,scan,2 cm,2 cm,0 cm,180°
96,rotate_success,2 cm,2 cm,0 cm,212°
97,get_location,2 cm,2 cm,0 cm,212°
98,rotate_success,2 cm,2 cm,0 cm,244°
99,get_location,2 cm,2 cm,0 cm,244°
100,rotate_success,2 cm,2 cm,0 cm,270°
101,get_location,2 cm,2 cm,0 cm,270°
102,scan,2 cm,2 cm,0 cm,270°
103,rotate_success,2 cm,2 cm,0 cm,302°
104,get_location,2 cm,2 cm,0 cm,302°
105,rotate_success,2 cm,2 cm,0 cm,334°
106,get_location,2 cm,2 cm,0 cm,334°
107,rotate_success,2 cm,2 cm,0 cm,0°
108,get_location,2 cm,2 cm,0 cm,0°
109,scan,2 cm,2 cm,0 cm,0°
110,rotate_success,2 cm,2 cm,0 cm,32°
111,get_location,2 cm,2 cm,0 cm,32°
112,rotate_success,2 cm,2 cm,0 cm,64°
113,get_location,2 cm,2 cm,0 cm,64°
114,rotate_success,2 cm,2 cm,0 cm,90°
115,get_location,2 cm,2 cm,0 cm,90°
116,scan,2 cm,2 cm,0 cm,90°
117,scan,2 cm,2 cm,0 cm,90°
118,scan,2 cm,2 cm,0 cm,90°
119,rotate_success,2 cm,2 cm,0 cm,58°
120,get_location,2 cm,2 cm,0 cm,58°
121,rotate_success,2 cm,2 cm,0 cm,26°
122,get_location,2 cm,2 cm,0 cm,26°
123,rotate_success,2 cm,2 cm,0 cm,0°
124,get_location,2 cm,2 cm,0 cm,0°
125,advance_success,3 cm,2 cm,0 cm,0°
126,get_location,3 cm,2 cm,0 cm,0°
127,scan,3 cm,2 cm,0 cm,0°
128,rotate_success,3 cm,2 cm,0 cm,32°
129,get_location,3 cm,2 cm,0 cm,32°
130,rotate_success,3 cm,2 cm,0 cm,64°
131,get_location,3 cm,2 cm,0 cm,64°
132,rotate_success,3 cm,2 cm,0 cm,90°
133,get_location,3 cm,2 cm,0 cm,90°
134,scan,3 cm,2 cm,0 cm,90°
135,rotate_success,3 cm,2 cm,0 cm,122°
136,get_location,3 cm,2 cm,0 cm,122°
137,rotate_success,3 cm,2 cm,0 cm,154°
138,get_location,3 cm,2 cm,0 cm,154°
139,rotate_success,3 cm,2 cm,0 cm,180°
140,get_location,3 cm,2 cm,0 cm,180°
141,scan,3 cm,2 cm,0 cm,180°
142,rotate_success,3 cm,2 cm,0 cm,212°
143,get_location,3 cm,2 cm,0 cm,212°
144,rotate_success,3 cm,2 cm,0 cm,244°
145,get_location,3 cm,2 cm,0 cm,244°
146,rotate_success,3 cm,2 cm,0 cm,270°
147,get_location,3 cm,2 cm,0 cm,270°
148,scan,3 cm,2 cm,0 cm,270°
149,scan,3 cm,2 cm,0 cm,270°
150,scan,3 cm,2 cm,0 cm,270°
151,rotate_success,3 cm,2 cm,0 cm,302°
152,get_location,3 cm,2 cm,0 cm,302°
153,rotate_success,3 cm,2 cm,0 cm,334°
154,get_location,3 cm,2 cm,0 cm,334°
155,rotate_success,3 cm,2 cm,0 cm,0°
156,get_location,3 cm,2 cm,0 cm,0°
157,advance_success,4 cm,2 cm,0 cm,0°
158,get_location,4 cm,2 cm,0 cm,0°
159,scan,4 cm,2 cm,0 cm,0°
160,rotate_success,4 cm,2 cm,0 cm,32°
161,get_location,4 cm,2 cm,0 cm,32°
162,rotate_success,4 cm,2 cm,0 cm,64°
163,get_location,4 cm,2 cm,0 cm,64°
164,rotate_success,4 cm,2 cm,0 cm,90°
165,get_location,4 cm,2 cm,0 cm,90°
166,scan,4 cm,2 cm,0 cm,90°
167,rotate_success,4 cm,2 cm,0 cm,122°
168,get_location,4 cm,2 cm,0 cm,122°
169,rotate_success,4 cm,2 cm,0 cm,154°
170,get_location,4 cm,2 cm,0 cm,154°
171,rotate_success,4 cm,2 cm,0 cm,180°
172,get_location,4 cm,2 cm,0 cm,180°
173,scan,4 cm,2 cm,0 cm,180°
174,rotate_success,4 cm,2 cm,0 cm,212°
175,get_location,4 cm,2 cm,0 cm,212°
176,rotate_success,4 cm,2 cm,0 cm,244°
177,get_location,4 cm,2 cm,0 cm,244°
178,rotate_success,4 cm,2 cm,0 cm,270°
179,get_location,4 cm,2 cm,0 cm,270°
180,scan,4 cm,2 cm,0 cm,270°
181,scan,4 cm,2 cm,0 cm,270°
182,scan,4 cm,2 cm,0 cm,270°
183,advance_success,4 cm,1 cm,0 cm,270°
184,get_location,4 cm,1 cm,0 cm,270°
185,scan,4 cm,1 cm,0 cm,270°
186,rotate_success,4 cm,1 cm,0 cm,302°
187,get_location,4 cm,1 cm,0 cm,302°
188,rotate_success,4 cm,1 cm,0 cm,334°
